# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²)
0.01,-0.001371180450907,-0.083587134488451,-8.358705625359567
0.02,0.003804545824244,0.231934724597936,23.197795958244903
0.03,0.02389985654612,0.993139219264274,76.1397120758947
0.04,0.069373845229834,1.779021706172644,78.60844759839672
0.05,0.143723723338724,2.753442774642575,97.47127730285709
0.06,0.251217672767232,3.799496914291342,104.63817115020855
0.07,0.393385807514349,4.867183194467405,106.80175727782209
0.08,0.570908305417386,5.954700932145093,108.7857746336276
0.09,0.784302999289169,7.05395569064327,109.96028502791805
0.1,1.033909242188978,8.162157246627798,110.85503354305116
0.11,1.320020670186498,9.279311850828392,111.75035246685542
0.12,1.642921238652318,10.40482438943051,112.58674641258162
0.13,2.002826198244788,11.535100241719336,113.0630215686953
0.14,2.399881967640493,12.669536460658962,113.47857179025634
0.15,2.83422491710739,13.80812530749077,113.89348782451546
0.16,3.305991177928929,14.9508594690871,114.30739772572005
0.17,3.815315245831936,16.09764849370131,114.71275154044079
0.18,4.362308559370113,17.2471764064193,114.98646830395376
0.19,4.947053462487855,18.398984029905534,115.21402936519523
0.2,5.569624631462351,19.553064193705836,115.440868968707
0.21,6.230096549180776,20.709413613831344,115.66777915690956
0.22,6.928543636076229,21.86802915506927,115.89398477145285
0.23,7.665033646455424,23.028509173638536,116.08014488207975
0.24,8.43960886073374,24.189701820159,116.15096774420644
0.25,9.252291322878367,25.351525471281803,116.21360793913131
0.26,10.103101574635707,26.513970047385513,116.27515163154617
0.27,10.992059816674148,27.67702540562646,116.33576344518684
0.28,11.919167138478809,28.83953570025733,116.28055177740782
0.29,12.884366666250251,29.999124305853893,115.98782036326328
0.3,13.887561146162843,31.155706158900202,115.6865980485948
0.31,14.928651706675698,32.30926736259958,115.3839282138922
0.32,16.007589759304185,33.462888430511605,115.389660091154
0.33,17.124427908692013,34.619655871382975,115.70387976240205
0.345,18.870978667327552,36.36052984811086,116.10899933545782
0.3675,21.65190784483652,38.98491353736764,116.71326195040645
0.40125,26.188109940127912,42.950735996762376,117.61241583516812
0.45125,33.72103822543211,48.89494967607665,119.04733523875245
0.50125,42.23732061700588,54.93740824103436,120.95740346499808
0.55125,51.75270146241505,61.07572832576166,122.86064838715943
0.60125,62.282700356251404,67.30740353483134,124.71488198863706
0.65125,73.83952850482346,73.59463566771831,125.81303764022785
0.70125,86.43084190945149,79.91954977246961,126.54874236415341
0.75125,100.06470514489116,86.30517517164931,127.74902680513036
0.801250000000001,114.75293612680068,92.7740515215447,129.39311465688124
0.851250000000001,130.50904886714886,99.32448727372358,131.00665235454073
0.901250000000001,147.3463524829808,105.95574601385556,132.615112975278
0.951250000000001,165.27833496848925,112.67063752293384,134.274880523374
1.001250000000001,184.31782992949303,119.45835722241061,135.7209848538393
1.051250000000001,204.47523618214845,126.29997726950927,136.78482176384045
1.101250000000001,225.76148233004864,133.22096758794152,138.35821942605614
1.151250000000001,248.19069300618327,140.23460854335096,140.1864228192328
1.201250000000001,271.7787260878268,147.34889474003828,142.1767257819407
1.251250000000001,296.54692964856764,154.62280366634505,145.3380178308484
1.301250000000001,322.52024394214146,162.0410619799771,148.19399923018665
1.351250000000001,349.71735306043155,169.54277401988742,149.8301086109287
1.401250000000001,378.1466282730459,177.06305582392116,150.16589233441292
1.451250000000001,407.80958853514187,184.58320140417362,150.12523962632613
1.501250000000001,438.7081216116389,192.1266658808663,150.56377356811146
1.551250000000001,470.84836548096365,199.72187057720726,151.58501619154268
1.601250000000001,504.24394169246847,207.43131471838075,153.84289783811084
1.651250000000001,538.9071549105618,215.17626365485714,154.51190156788948
1.701250000000001,574.8335998227335,222.83186427750263,152.6767560693325
1.751250000000001,612.0113084861401,230.4308289891536,151.4943166649841
1.801250000000001,650.4307928295019,237.97077073372077,150.26657675015088
1.851250000000001,690.0806829769141,245.43131135465237,148.64455783093342
1.901250000000001,730.9452087644913,252.77925949923096,146.3754724172558
1.951250000000002,773.0051795972822,260.00596466434496,143.93095163567352
2.001250000000002,816.2373840397034,267.0705682546672,140.6512477280066
2.051250000000001,860.6078697259024,273.8831727857986,135.5657917908906
2.101250000000001,906.0632162918802,280.2968298897687,127.57038981559317
2.151250000000001,952.5346945884878,286.27201361103334,118.82015254385355
2.201250000000001,999.9492802077787,291.7953324698137,109.79280576686152
2.251250000000001,1048.23184190443,296.85514202839454,100.56227852751441
2.301250000000001,1097.3065947478779,301.4543095291111,91.37707245891195
2.35125,1147.0980854379416,305.5940199967949,82.21689637712569
2.40125,1197.5311642949828,309.27737806669677,73.14935138775563
2.45125,1248.536830064856,312.5759491595857,65.51419217208982
2.50125,1300.055705236702,315.5352384086591,58.76211850428031
2.55125,1352.0352369570787,318.19252100355743,52.737146337114865
2.601249999999999,1404.4293205680283,320.58983879757255,47.56864781967357
2.651249999999999,1457.200258059085,322.78757992958305,43.60278730837199
2.701249999999999,1510.315586007313,324.7891897156996,39.71454821809093
2.751249999999999,1563.7435455648751,326.5995679124287,35.90574916491511
2.801249999999999,1617.455739543243,328.25478780816303,32.818497419624194
2.851249999999999,1671.427950797134,329.77008761920376,30.050808025701322
2.901249999999998,1725.6380421799013,331.15561630556726,27.49449598028571
2.951249999999998,1780.0652472043937,332.4176363707034,25.043353343129855
3.001249999999998,1834.6894104917512,333.5570344102486,22.595976485465116
3.051249999999998,1889.49038239395,334.57366606314946,20.166633117790003
3.101249999999998,1944.4481735273678,335.469438204326,17.78082677567696
3.151249999999997,1999.542764517932,336.24203160608494,15.347171702532052
3.201249999999997,2054.7540226520136,336.8922672566173,12.923257203219446
3.251249999999997,2110.062770302264,337.43098281483753,10.714207543131632
3.301249999999997,2165.4545159632394,337.90423576778795,9.435950810785162
