Mach	CD
0.01	0.3688250212673321
0.02	0.3621429697087976
0.03	0.3503208895926562
0.04	0.3401008591989186
0.05	0.3316379092397341
0.06	0.3245634781970973
0.07	0.3185527443855486
0.08	0.3133654138429504
0.09	0.3083078409539165
0.1	0.3129727298654324
0.11	0.3164179330729692
0.12	0.3189868651597969
0.13	0.3209106722842393
0.14	0.3223498355250451
0.15	0.3234187105822624
0.16	0.3242006023171101
0.17	0.3247574099675417
0.18	0.3251358615908935
0.19	0.3253717566355947
0.2	0.3254928806906715
0.21	0.3255210495986084
0.22	0.3254735628805196
0.23	0.3253642132660093
0.24	0.3252042205490796
0.25	0.3250025917318265
0.26	0.3249506035215022
0.27	0.3248721198878044
0.28	0.3247719086593865
0.29	0.3246538822898705
0.3	0.3245213070375966
0.31	0.3243769419470674
0.32	0.3242230896790541
0.33	0.3240616890112714
0.34	0.3238943962576758
0.35	0.3237225772219382
0.36	0.3235474162801025
0.37	0.3233699266203218
0.38	0.3231909045024152
0.39	0.3230111676928172
0.4	0.3228312601264171
0.41	0.3226517415746629
0.42	0.3224730441161385
0.43	0.3222955685106115
0.44	0.3221195816391905
0.45	0.3219454131270085
0.46	0.3217732647552119
0.47	0.3216033634834617
0.48	0.321435826165355
0.49	0.3212707966275716
0.5	0.3211084051660251
0.51	0.3209487338758266
0.52	0.3207918485317185
0.53	0.3206378139799909
0.54	0.3204866598198288
0.55	0.3203384080670362
0.56	0.320193123657683
0.57	0.3200507864891873
0.58	0.319911392077578
0.59	0.3197749794191702
0.6	0.3196414808814151
0.61	0.3198509274103199
0.62	0.3200506051891114
0.63	0.3202527012645495
0.64	0.3204571933510413
0.65	0.3206640369571268
0.66	0.3208731609479214
0.67	0.321084566791493
0.68	0.3212981787556361
0.69	0.3215139930219431
0.7	0.3217319445357082
0.71	0.3219520229538399
0.72	0.3221741362184371
0.73	0.322398306283289
0.74	0.3226244495557053
0.75	0.3228525561591901
0.76	0.3230825701210203
0.77	0.3233144556009112
0.78	0.3235481801060968
0.79	0.3237837113489123
0.8	0.3240210124223413
0.81	0.324260040281047
0.82	0.3245007742357469
0.83	0.3247431629875133
0.84	0.3249871743193709
0.85	0.3252327949796943
0.86	0.3254799807569263
0.87	0.3257287227964098
0.88	0.3259789312666665
0.89	0.3262306345285017
0.9	0.3264837797861745
0.91	0.32870386948872
0.92	0.335364138596358
0.93	0.392782826892012
0.94	0.497629799821861
0.95	0.602476772751711
0.96	0.707323745681561
0.97	0.812170718611411
0.98	0.917017691541261
0.99	1.02186466447111
1.0	1.12671163740096
1.01	1.23155861033081
1.02	1.33640558326066
1.03	1.44125255619051
1.04	1.54609952912036
1.05	1.6509465020502103
